 # T[Kelvin]	Chi[emu/mol]
   2.0465000000000000        4.0121970791205204     
   2.8487000000000000       0.44863569883982807     
   3.1957000000000000       0.30914098993127792     
   3.4962000000000000       0.24593167526197873     
   4.4927000000000001       0.14795525832988102     
   6.0202000000000000        9.0156692331271757E-002
   7.9286000000000003        6.0039145522880921E-002
   9.9116999999999997        4.4546803098675626E-002
   11.856000000000000        3.5562130598368415E-002
   13.746000000000000        2.9774488027678365E-002
   15.625999999999999        2.5600065536167775E-002
   17.568000000000001        2.2409264886474663E-002
   19.503000000000000        1.9928853991251234E-002
   21.469999999999999        1.7907251183221621E-002
   23.456000000000000        1.6242071838683741E-002
   25.515999999999998        1.4800825294018395E-002
   27.722000000000001        1.3533631073216944E-002
   31.472000000000001        1.1800969567659679E-002
   35.445999999999998        1.0448261774929813E-002
   39.350999999999999        9.3443097825579111E-003
   44.292999999999999        8.2764328574384434E-003
   49.182000000000002        7.4143824190164081E-003
   54.066000000000003        6.7124455452855138E-003
   59.006000000000000        6.1267001592942042E-003
   63.902999999999999        5.6430860909214035E-003
   68.879000000000005        5.2267904370642167E-003
   78.766999999999996        4.5595269034884945E-003
   88.736999999999995        4.0474195676546421E-003
   98.632999999999996        3.6392088359990535E-003
   108.69000000000000        3.3106115030507280E-003
   118.68600000000001        3.0314880665472262E-003
   128.70099999999999        2.8005713165485759E-003
   138.70500000000001        2.5968360149993246E-003
   148.73400000000001        2.4240073689824016E-003
   158.71100000000001        2.2749660461317614E-003
   168.55600000000001        2.1418183609520814E-003
   178.52400000000000        2.0225841748968991E-003
   188.44600000000000        1.9133299786281042E-003
   198.40899999999999        1.8214704001952619E-003
   208.47100000000000        1.7327118673435794E-003
